Year,Proj,Proj Name,Date,Format,Engr Est,Low Bid,Var,Result,Bids,Loc,Qtr,LD,Lead,Typeology,Second Bid
2019,JFK-944.805,Replace Switch House #1 Emergency Generator,9/19/19,Public,3840000,2936000,-0.235416667,GOOD,11,NY,3,Avi,Z,Infra,3424944
2019,HT-924.110A,HT Admin Bldg - Second Means of Egress,9/12/19,SBE,1360000,1843700,0.355661765,FAIL,5,NJ,3,TB&T,Z,Building,2765000
2019,JFK-1078,Landside Asphalt Repairs via Work Order,9/5/19,SBE,2030000,1887810,-0.070044335,GOOD,4,NY,3,Avi,Z,Paving,2397400
2019,MF-234.217,HT & LT - Ventilation Buildings CCTV Cameras,9/4/19,Public,1300000,919000,-0.293076923,GOOD,16,Both,3,TB&T,Z,Building,1047850
2019,PJ-664.537,Upgrade Electrical Infrastructure - Service Drops for 13.2kV Loop,8/27/19,SBE,1260000,1201422,-0.046490476,GOOD,6,NJ,3,Ports,Z,Infra,1534777
2019,EWR-154.224A,Terminal B Exterior Wall Glass Upgrade,8/23/19,Public,55300000,43999000,-0.204358047,GOOD,5,NJ,3,Avi,Z,Building,47275000
2019,GWB-244.112,"Lower Level Steel, Paint and Traveller",8/22/19,Public,194071979,171330900,-0.11717858,GOOD,6,Both,3,TB&T,Z,Infra,172579500
2019,LGA-984.315,Landside Paving via Classified Work Order,8/22/19,Public,1980000,1993000,0.006565657,GOOD,4,NY,3,Avi,Z,Paving,2568000
2019,PAT-784.166,Tracks G & H Permanent Flood Protection,8/13/19,Public,21500000,23111450,0.074951163,GOOD,7,NJ,3,PATH,Z,Infra,23950000
2019,HT-924.152A,Maintenance Pavement Repairs via Work Order,8/8/19,PQL,1755000,1312300,-0.252250712,GOOD,7,Both,3,TB&T,Z,Paving,1378680
2019,HT-224.130,Latent Salt Damage Repairs and Mitigation,7/23/19,Public,249010000,135022488,-0.457762789,FAIL,5,Both,3,TB&T,Z,Infra,159511820
2019,PJ-664.532,Construct Second Lead Track,7/18/19,Public,5660000,3930000,-0.30565371,GOOD,4,NJ,3,Ports,Z,Infra,4397206
2019,HT-224.121,Roof Replacement at NJ Service Garage,7/16/19,SBE,2060000,2899873,0.40770534,FAIL,4,NJ,3,TB&T,Z,Building,2899873
2019,HT-944.004,Repair of Collapsed Drain Pipe at NY Land Vent Bldg,7/9/19,SBE,400000,396784,-0.00804,GOOD,6,NY,3,TB&T,Z,Building,508925
2019,PN-654.072,Corbin St. & Reconstruction of Berth 3 Culvert,6/25/19,Public,5280000,5097757,-0.03451572,GOOD,14,NJ,2,Ports,Z,Infra,5154000
2019,LT-234.181,Admin Bldg HVAC Rehab Phase 2,6/12/19,Public,2900000,3845000,0.325862069,FAIL,6,NJ,2,TB&T,Z,Building,4321000
2019,HT-224.134,Flood Protection for Ventilation Buildings,6/6/19,Public,2070000,2112649,0.020603382,GOOD,9,Both,2,TB&T,Z,Building,2350033
2019,LGA-124.266,Repl Taxiway A between K to E,6/5/19,Public,8360000,8947585,0.070285287,GOOD,3,NY,2,Avi,Z,Paving,9550000
2019,PAT-784.165,HCMF Permanent Flood Protection,5/8/19,Public,18800000,14551682,-0.225974362,GOOD,11,NJ,2,PATH,Z,Building,14587499
2019,PAT-774.216,Replacement of Substation 8,5/2/19,PQL,38200000,40811000,0.068350785,GOOD,5,NJ,2,PATH,Z,Building,41813670
2019,PAT-774.217,Replacement of Substation 14,5/1/19,PQL,44840000,48311245,0.077414028,GOOD,7,NJ,2,PATH,Z,Building,50950000
2019,JFK-154.020,Cut & Cover Tunnel Power Distribution Vault & Pump Station Repairs,4/30/19,Public,6950000,8720200,0.254705036,FAIL,6,NY,2,Avi,Z,Infra,8949953
2019,LT-535,Rock Slope Priority Repairs for Slope A,4/16/19,Public,1200000,1738750,0.448958333,FAIL,4,NJ,2,TB&T,Z,Infra,1937720
2019,LGA-124.248,Pugsley Creek Wetland Mitigation,4/16/19,Public,9330000,7407376,-0.206069025,GOOD,7,NY,2,Avi,Z,Infra,7728122
2019,PAT-084.064,C-Yard CCTV,4/12/19,SBE,1216000,1300529,0.06951398,GOOD,4,NJ,2,PATH,Z,Infra,2200788
2019,PAT-774.179,HCMF Sewage Ejection Pit Rehabilitation,4/10/19,Public,1090000,1142000,0.047706422,GOOD,3,NJ,2,PATH,Z,Infra,1245470
2019,GWB-934.137A,NJ Admin Bldg Sprinkler System Rehabilitation,3/21/19,SBE,1151000,1762891,0.531616855,FAIL,4,NJ,1,TB&T,Z,Building,1762891
2019,JFK-184.676,Building 111 Interim Unified Operations Center,3/19/19,Public,2390000,2374684,-0.006408368,GOOD,5,NY,1,Avi,Z,Building,2627000
2019,LGA-124.256,Rehab of Fuel Farm Substation,3/7/19,SBE,2460000,2542676,0.03360813,GOOD,4,NY,1,Avi,Z,Infra,2555556
2019,JFK-184.043,Taxiways CA and CB Paving & Enhancements,3/5/19,Public,42125550,34053550,-0.191617676,FAIL,2,NY,1,Avi,Z,Paving,36265223
2019,PN-654.566,Rehab of Berth 25 and East End Bulkhead Extension (Grouting),2/21/19,Public,4450000,5282906,0.187169888,FAIL,7,NJ,1,Ports,Z,Infra,6563660
2019,GWB-984.205,GWB - Maintenance Pavement Repairs via Work Order,2/20/19,PQL,1790000,1443785,-0.193416201,GOOD,7,Both,1,TB&T,Z,Paving,1884975
2019,AK-196A,SI Bridges - Maintenance Pavement Repairs via Work Order,2/20/19,PQL,1880000,1101828,-0.413921277,GOOD,6,Both,1,TB&T,Z,Paving,2593400
