Year,Quarter,Consumer price index,Employment in communications,Employment in construction,Employment in education and health,Employment in financial and business services,Employment in financial services,Employment in government,Employment in other services,Employment in production industries,Employment in professional services,Employment in real estate,Employment in retail,Employment in transport services,Employment in wholesale,Output in communications,Output in construction,Output in financial services,Output in government,Output in retail,Output in education and health,Output in financial and business services,Output in other services,Output in production industries,Output in professional services,Output in real estate,Output in transport services,Output in wholesale,"Personal disposable income, nominal","Personal disposable income, real","Personal income, nominal","Retail sales, nominal","Retail sales, real",Total employment,Total office based employment,Total output,Total population
2015,Q1,259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81
2015,Q2,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72
2015,Q3,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75
2015,Q4,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39
2016,Q1,261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59
2016,Q2,262.7826,271.5366,355.993,1735,2204.644,554.0839,1202.534,1227.11,338.964,1454.65,195.91,869.1947,334.049,398.3187,37171.69,9895.583,58201.34,30267.69,16426.69,31199.38,173729.9,20098.09,15699.78,55675.34,59853.22,13558.89,22251.11,265292,255012.5,316937.7,73616.91,78853.91,8937.344,2204.644,368611.2,18401.55
2016,Q3,263.8254,279.0824,358.8192,1752.779,2218.025,554.5132,1205.641,1236.743,338.5642,1465.892,197.6201,871.0665,335.9704,397.4492,36084.18,9831.064,58186.77,30391.34,16616.29,31116.66,173164.3,20101.25,15270.82,55181.07,59796.43,13625.4,22239.99,267273.8,255810.9,319161.4,74111.72,79600.65,8994.14,2218.025,366967.5,18405.93
2016,Q4,265.7984,279.0168,360.8947,1765.675,2226.539,553.4979,1203.026,1240.999,337.9709,1474.882,198.1587,872.9807,339.6768,397.6727,37295.56,9854.404,55734.5,30369.05,16745.62,31642.15,171648.2,20200.71,15081.91,55674.46,60239.26,13901.16,21835.49,270915.6,258054.2,322936.2,75054.13,80310.51,9024.451,2226.539,367004.1,18403.33
2017,Q1,267.5056,279.4621,367.5061,1782.308,2238.756,556.5732,1207.126,1252.507,337.2575,1482.968,199.2152,874.7508,344.1129,396.875,36758.79,9896.156,58329.84,30537.86,16985.45,31732.09,176067.2,20439.35,15735.84,56559.79,61177.59,13733.43,22338.82,278386.8,263813.8,331506.2,76793.11,81576.25,9080.661,2238.756,372594,18400.73
2017,Q2,267.7646,279.6681,367.0391,1793.272,2245.013,557.0744,1203.943,1264.415,336.7957,1487.478,200.4609,871.2448,347.3889,396.9979,37978.05,9654.486,55928.16,30472.54,17111.32,31998.82,174935.8,20803.73,15949.87,57444.85,61562.78,14052.69,22358.47,281258.1,266012.9,334472,77406.51,82923.29,9105.778,2245.013,373720.4,18396.54
