"","Q","Proj","Proj.Name","Date","Format","Engr.Est","Low.Bid","Var","Result","Bids","Loc","Qtr","LD","Lead","Typeology","Consumer.price.index","Employment.in.communications","Employment.in.construction","Employment.in.education.and.health","Employment.in.financial.and.business.services","Employment.in.financial.services","Employment.in.government","Employment.in.other.services","Employment.in.production.industries","Employment.in.professional.services","Employment.in.real.estate","Employment.in.retail","Employment.in.transport.services","Employment.in.wholesale","Output.in.communications","Output.in.construction","Output.in.financial.services","Output.in.government","Output.in.retail","Output.in.education.and.health","Output.in.financial.and.business.services","Output.in.other.services","Output.in.production.industries","Output.in.professional.services","Output.in.real.estate","Output.in.transport.services","Output.in.wholesale","Personal.disposable.income..nominal","Personal.disposable.income..real","Personal.income..nominal","Retail.sales..nominal","Retail.sales..real","Total.employment","Total.office.based.employment","Total.output","Total.population","permits","permits_1","cci","accuracy","decile"
"1","2015-Q1","LGA-124.166","Laguardia Airport-Rehabilitation of Runway 13-31 and Associated Taxiways",2015-02-03,"Other",25770000,28747550,0.115543267,"FAIL",3,"NY",1,"Avi","Z","Paving",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,38139,43358,9962,0.896424217020233,"9"
"2","2015-Q1","LGA-124.231","Laguardia Airport-Rehabilitation of Taxiways West of Runway 4-22",2015-02-22,"Other",9700000,8742268,-0.098735258,"GOOD",3,"NY",1,"Avi","Z","Paving",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,38139,43358,9962,1.10955189202619,"8"
"3","2015-Q1","JFK-134.025","John F. Kennedy International Airport-Unmanned AOA Gates and Perimeter Fence Enhancement-Phase II",2015-02-25,"Other",640000,574000,-0.103125,"GOOD",4,"NY",1,"Sec","Z","Infra",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,38139,43358,9962,1.11498257839721,"1"
"4","2015-Q1","PN-654.004","Port Newark-Berths 30, 32, and 34 Fender Systems Reconstruction",2015-03-09,"Public",9600000,6748000,-0.297083333,"GOOD",12,"NJ",1,"Ports","Z","Infra",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,38139,43358,9962,1.4226437462952,"8"
"5","2015-Q1","PAT-084.057","PATH-Access Control and CCTV at Substation and Communications Rooms",2015-03-17,"Other",4450000,3620000,-0.186516854,"GOOD",3,"NJ",1,"PATH","Z","Building",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,30193.99,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,38139,43358,9962,1.2292817679558,"6"
"6","2015-Q2","PJ-924.624","Port Jersey Marine Terminal-Paving and Utility Rehabilitation via Work Order",2015-04-08,"Other",1300000,878175,-0.324480769,"GOOD",7,"NJ",2,"Ports","Z","Paving",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.48034275628434,"2"
"7","2015-Q2","JFK-1050","John F. Kennedy International Airport-Replacement of Fire Alarm System at the Airport Traffic Control Tower",2015-04-09,"Public",1850000,2137550,0.155432432,"FAIL",8,"NY",2,"Avi","Z","Building",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.865476830951323,"5"
"8","2015-Q2","LGA-774.234","Laguardia Airport-Flood Protection at the West Field Lighting Vault",2015-04-10,"Public",3760000,2999293,-0.202315691,"GOOD",10,"NY",2,"Avi","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.25362877184723,"6"
"9","2015-Q2","LGA-774.236","Laguardia airport-Flood Protection at the West End Substation",2015-04-10,"Public",1770000,1397380,-0.210519774,"GOOD",10,"NY",2,"Avi","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.26665617083399,"3"
"10","2015-Q2","MFP-924.630","New Jersey Marine Terminals-Paving and Utility Rehabilitation via Work Order",2015-04-14,"Public",2320000,1550780,-0.331560345,"GOOD",9,"NJ",2,"Ports","Z","Paving",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.49602135699454,"4"
