"","Q","permits2","permits2_1"
"1","1006-Q1",1,NA
"2","1989-Q2",191,1
"3","1989-Q3",1104,191
"4","1989-Q4",2094,1104
"5","1990-Q1",2453,2094
"6","1990-Q2",5064,2453
"7","1990-Q3",8744,5064
"8","1990-Q4",9886,8744
"9","1991-Q1",10301,9886
"10","1991-Q2",12013,10301
"11","1991-Q3",12798,12013
"12","1991-Q4",13757,12798
"13","1992-Q1",13202,13757
"14","1992-Q2",13539,13202
"15","1992-Q3",14533,13539
"16","1992-Q4",14162,14533
"17","1993-Q1",13537,14162
"18","1993-Q2",14750,13537
"19","1993-Q3",16551,14750
"20","1993-Q4",15250,16551
"21","1994-Q1",13626,15250
"22","1994-Q2",16109,13626
"23","1994-Q3",16373,16109
"24","1994-Q4",16608,16373
"25","1995-Q1",15521,16608
"26","1995-Q2",16510,15521
"27","1995-Q3",16582,16510
"28","1995-Q4",16315,16582
"29","1996-Q1",14897,16315
"30","1996-Q2",17643,14897
"31","1996-Q3",18597,17643
"32","1996-Q4",17931,18597
"33","1997-Q1",16854,17931
"34","1997-Q2",18571,16854
"35","1997-Q3",20620,18571
"36","1997-Q4",19249,20620
"37","1998-Q1",19748,19249
"38","1998-Q2",21470,19748
"39","1998-Q3",22887,21470
"40","1998-Q4",23337,22887
"41","1999-Q1",21949,23337
"42","1999-Q2",25458,21949
"43","1999-Q3",26419,25458
"44","1999-Q4",24464,26419
"45","2000-Q1",24752,24464
"46","2000-Q2",27917,24752
"47","2000-Q3",29493,27917
"48","2000-Q4",27845,29493
"49","2001-Q1",25973,27845
"50","2001-Q2",30277,25973
"51","2001-Q3",26541,30277
"52","2001-Q4",30214,26541
"53","2002-Q1",27353,30214
"54","2002-Q2",30039,27353
"55","2002-Q3",32209,30039
"56","2002-Q4",32801,32209
"57","2003-Q1",29048,32801
"58","2003-Q2",34503,29048
"59","2003-Q3",36196,34503
"60","2003-Q4",34421,36196
"61","2004-Q1",30585,34421
"62","2004-Q2",38725,30585
"63","2004-Q3",41848,38725
"64","2004-Q4",37003,41848
"65","2005-Q1",34098,37003
"66","2005-Q2",41731,34098
"67","2005-Q3",44112,41731
"68","2005-Q4",40411,44112
"69","2006-Q1",38234,40411
"70","2006-Q2",43102,38234
"71","2006-Q3",44562,43102
"72","2006-Q4",40503,44562
"73","2007-Q1",39073,40503
"74","2007-Q2",45724,39073
"75","2007-Q3",45894,45724
"76","2007-Q4",41546,45894
"77","2008-Q1",35695,41546
"78","2008-Q2",46850,35695
"79","2008-Q3",39860,46850
"80","2008-Q4",33526,39860
"81","2009-Q1",29013,33526
"82","2009-Q2",33566,29013
"83","2009-Q3",33712,33566
"84","2009-Q4",28536,33712
"85","2010-Q1",26909,28536
"86","2010-Q2",33333,26909
"87","2010-Q3",35825,33333
"88","2010-Q4",34044,35825
"89","2011-Q1",30564,34044
"90","2011-Q2",37619,30564
"91","2011-Q3",37484,37619
"92","2011-Q4",34325,37484
"93","2012-Q1",34156,34325
"94","2012-Q2",39238,34156
"95","2012-Q3",40583,39238
"96","2012-Q4",35296,40583
"97","2013-Q1",35314,35296
"98","2013-Q2",40825,35314
"99","2013-Q3",44988,40825
"100","2013-Q4",43732,44988
"101","2014-Q1",38069,43732
"102","2014-Q2",44642,38069
"103","2014-Q3",46819,44642
"104","2014-Q4",43358,46819
"105","2015-Q1",38139,43358
"106","2015-Q2",54098,38139
"107","2015-Q3",48731,54098
"108","2015-Q4",48467,48731
"109","2016-Q1",43463,48467
"110","2016-Q2",48662,43463
"111","2016-Q3",49526,48662
"112","2016-Q4",43552,49526
"113","2017-Q1",43851,43552
"114","2017-Q2",48959,43851
"115","2017-Q3",47713,48959
"116","2017-Q4",40405,47713
"117","2018-Q1",33781,40405
"118","2018-Q2",37246,33781
"119","2018-Q3",36000,37246
"120","2018-Q4",30542,36000
"121","2019-Q1",28822,30542
"122","2019-Q2",30165,28822
"123","2019-Q3",22420,30165
