"","Engr.Est","Loc","LD","Typeology","Consumer.price.index","Employment.in.communications","Employment.in.construction","Employment.in.education.and.health","Employment.in.financial.and.business.services","Employment.in.financial.services","Employment.in.government","Employment.in.other.services","Employment.in.production.industries","Employment.in.professional.services","Employment.in.real.estate","Employment.in.retail","Employment.in.transport.services","Employment.in.wholesale","Output.in.communications","Output.in.construction","Output.in.financial.services","Output.in.retail","Output.in.education.and.health","Output.in.financial.and.business.services","Output.in.other.services","Output.in.production.industries","Output.in.professional.services","Output.in.real.estate","Output.in.transport.services","Output.in.wholesale","Personal.disposable.income..nominal","Personal.disposable.income..real","Personal.income..nominal","Retail.sales..nominal","Retail.sales..real","Total.employment","Total.office.based.employment","Total.output","Total.population","permits_1","cci","Format2","quantile_1","quantile_2","quantile_3","quantile_4","quantile_5"
"1",25770000,"NY","Avi","Paving",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,43358,9962,"Other",0,0,0,0,1
"2",9700000,"NY","Avi","Paving",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,43358,9962,"Other",0,0,0,1,0
"3",640000,"NY","Sec","Infra",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,43358,9962,"Other",1,0,0,0,0
"4",9600000,"NJ","Ports","Infra",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,43358,9962,"Public",0,0,0,1,0
"5",4450000,"NJ","PATH","Building",259.312,276.0735,331.6689,1666.401,2149.166,549.022,1191.476,1190.153,339.2611,1410.922,189.2218,872.4502,321.4322,400.9382,31940.55,9182.419,59006.3,15904.98,30386.12,172889.8,19872.47,15694.17,54670.04,59213.5,13251.22,22804.42,251601.9,245211.6,302741.9,69862.11,73297.36,8739.02,2149.166,361598.3,18358.81,43358,9962,"Other",0,0,1,0,0
"6",1300000,"NJ","Ports","Paving",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Other",1,0,0,0,0
"7",1850000,"NY","Avi","Building",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",0,0,1,0,0
"8",3760000,"NY","Avi","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",0,0,1,0,0
"9",1770000,"NY","Avi","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",0,1,0,0,0
"10",2320000,"NJ","Ports","Paving",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",0,1,0,0,0
"11",521000,"Both","PATH","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Other",0,1,0,0,0
"12",735000,"NJ","Avi","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",1,0,0,0,0
"13",830000,"Both","TB&T","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Other",0,1,0,0,0
"14",1263000,"NY","Avi","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",1,0,0,0,0
"15",3340000,"NJ","PATH","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,38139,9975,"Public",0,0,0,1,0
